x,y,z
93.0,156.0,9.215687
93.0,159.0,2.3529396
93.0,177.0,2.1568642
93.0,180.0,8.431374
93.0,183.0,20.588234
93.0,186.0,34.117645
93.0,189.0,41.17647
93.0,192.0,43.72549
93.0,195.0,42.35294
93.0,198.0,32.941177
93.0,201.0,20.588234
93.0,204.0,8.627449
93.0,207.0,2.1568642
93.0,225.0,2.3529396
93.0,228.0,8.823528
93.0,231.0,21.372547
93.0,234.0,34.313725
93.0,237.0,42.941177
93.0,240.0,47.64706
93.0,243.0,48.039215
93.0,246.0,45.098038
93.0,249.0,39.215687
93.0,252.0,28.431372
93.0,255.0,15.098038
93.0,258.0,4.9019623
96.0,123.0,1.1764717
96.0,126.0,5.490196
96.0,129.0,15.882351
96.0,132.0,29.019608
96.0,135.0,39.215687
96.0,138.0,45.490196
96.0,141.0,47.64706
96.0,144.0,47.2549
96.0,147.0,43.72549
96.0,150.0,33.72549
96.0,153.0,21.372547
96.0,156.0,9.215687
96.0,159.0,2.3529396
96.0,177.0,1.9607849
96.0,180.0,8.431374
96.0,183.0,20.588234
96.0,186.0,33.72549
96.0,189.0,42.35294
96.0,192.0,45.098038
96.0,195.0,41.17647
96.0,198.0,33.333332
96.0,201.0,20.784313
96.0,204.0,8.431374
96.0,207.0,2.1568642
96.0,225.0,2.1568642
96.0,228.0,9.019608
96.0,231.0,21.17647
96.0,234.0,34.117645
96.0,237.0,42.941177
96.0,240.0,47.2549
96.0,243.0,48.039215
96.0,246.0,45.490196
96.0,249.0,38.82353
96.0,252.0,28.431372
96.0,255.0,15.098038
96.0,258.0,5.0980377
99.0,123.0,1.1764717
99.0,126.0,5.6862755
99.0,129.0,16.07843
99.0,132.0,29.019608
99.0,135.0,39.60784
99.0,138.0,46.27451
99.0,141.0,48.039215
99.0,144.0,47.64706
99.0,147.0,42.7451
99.0,150.0,34.313725
99.0,153.0,21.764704
99.0,156.0,9.215687
99.0,159.0,2.3529396
99.0,177.0,2.1568642
99.0,180.0,8.431374
99.0,183.0,20.588234
99.0,186.0,34.117645
99.0,189.0,41.568626
99.0,192.0,44.117645
99.0,195.0,42.35294
99.0,198.0,34.117645
99.0,201.0,21.372547
99.0,204.0,8.823528
99.0,207.0,2.3529396
99.0,225.0,2.1568642
99.0,228.0,8.823528
99.0,231.0,20.784313
99.0,234.0,33.72549
99.0,237.0,43.333332
99.0,240.0,47.64706
99.0,243.0,47.64706
99.0,246.0,45.490196
99.0,249.0,39.215687
99.0,252.0,28.823528
99.0,255.0,15.294117
99.0,258.0,4.9019623
102.0,123.0,1.1764717
102.0,126.0,5.6862755
102.0,129.0,16.470589
102.0,132.0,29.019608
102.0,135.0,39.80392
102.0,138.0,45.882355
102.0,141.0,48.039215
102.0,144.0,47.2549
102.0,147.0,43.333332
102.0,150.0,34.117645
102.0,153.0,21.764704
102.0,156.0,9.215687
102.0,159.0,2.3529396
102.0,177.0,2.1568642
102.0,180.0,8.431374
102.0,183.0,20.196077
102.0,186.0,34.313725
102.0,189.0,41.17647
102.0,192.0,44.117645
102.0,195.0,42.35294
102.0,198.0,34.117645
102.0,201.0,21.372547
102.0,204.0,9.019608
102.0,207.0,2.3529396
102.0,225.0,2.1568642
102.0,228.0,8.431374
102.0,231.0,20.588234
102.0,234.0,33.333332
102.0,237.0,42.7451
102.0,240.0,47.2549
102.0,243.0,48.039215
102.0,246.0,45.098038
102.0,249.0,39.215687
102.0,252.0,28.431372
102.0,255.0,15.098038
102.0,258.0,4.9019623
105.0,123.0,1.1764717
105.0,126.0,6.07843
105.0,129.0,16.07843
105.0,132.0,28.823528
105.0,135.0,39.80392
105.0,138.0,46.27451
105.0,141.0,48.039215
105.0,144.0,46.862743
105.0,147.0,43.72549
105.0,150.0,33.72549
105.0,153.0,21.764704
105.0,156.0,9.019608
105.0,159.0,2.3529396
105.0,177.0,1.9607849
105.0,180.0,8.235294
105.0,183.0,20.196077
105.0,186.0,33.333332
105.0,189.0,41.568626
105.0,192.0,44.705883
105.0,195.0,42.35294
105.0,198.0,34.313725
105.0,201.0,21.960783
105.0,204.0,9.411766
105.0,207.0,2.3529396
105.0,225.0,1.9607849
105.0,228.0,8.235294
105.0,231.0,20.196077
105.0,234.0,33.333332
105.0,237.0,41.960785
105.0,240.0,46.47059
105.0,243.0,47.64706
105.0,246.0,45.882355
105.0,249.0,39.215687
105.0,252.0,28.431372
105.0,255.0,15.098038
105.0,258.0,4.9019623
108.0,123.0,1.1764717
108.0,126.0,6.07843
108.0,129.0,16.470589
108.0,132.0,29.019608
108.0,135.0,39.80392
108.0,138.0,46.27451
108.0,141.0,48.235294
108.0,144.0,48.039215
108.0,147.0,42.941177
108.0,150.0,34.313725
108.0,153.0,21.764704
108.0,156.0,9.411766
108.0,159.0,2.3529396
108.0,177.0,2.1568642
108.0,180.0,8.235294
108.0,183.0,20.196077
108.0,186.0,33.72549
108.0,189.0,41.568626
108.0,192.0,44.509804
108.0,195.0,42.941177
108.0,198.0,34.705883
108.0,201.0,22.35294
108.0,204.0,9.6078415
108.0,207.0,2.5490189
108.0,225.0,1.7647057
108.0,228.0,8.039215
108.0,231.0,19.999998
108.0,234.0,33.333332
108.0,237.0,42.35294
108.0,240.0,47.2549
108.0,243.0,47.64706
108.0,246.0,45.098038
108.0,249.0,38.82353
108.0,252.0,28.431372
108.0,255.0,14.901958
108.0,258.0,4.9019623
111.0,123.0,1.1764717
111.0,126.0,6.07843
111.0,129.0,16.666664
111.0,132.0,29.411764
111.0,135.0,40.588234
111.0,138.0,46.27451
111.0,141.0,48.235294
111.0,144.0,47.2549
111.0,147.0,43.333332
111.0,150.0,34.705883
111.0,153.0,21.960783
